Dates,px_mid
2025-01-02,94.015625
2025-01-03,93.8671875
2025-01-06,93.7109375
2025-01-07,93.359375
2025-01-08,93.25
2025-01-09,93.359375
2025-01-10,92.59375
2025-01-13,92.4375
2025-01-14,92.4921875
2025-01-15,93.4765625
2025-01-16,93.8515625
2025-01-17,93.65625
2025-01-21,93.9375
2025-01-22,93.859375
2025-01-23,93.609375
2025-01-24,93.71875
2025-01-27,94.265625
2025-01-28,94.2421875
2025-01-29,94.34375
2025-01-30,94.390625
2025-01-31,94.1953125
2025-02-03,94.03125
2025-02-04,94.28125
2025-02-05,94.7734375
2025-02-06,94.734375
2025-02-07,94.4140625
2025-02-10,94.46875
2025-02-11,94.2890625
